"quarter","user_type","day_of_week","n_value","len_min_mean"
"Quarter 1","Customer","Friday",3256,41.7890049140049
"Quarter 1","Customer","Monday",1901,100.302472382956
"Quarter 1","Customer","Saturday",5785,51.2134831460674
"Quarter 1","Customer","Sunday",5514,48.0291984040624
"Quarter 1","Customer","Thursday",2043,42.6069505628977
"Quarter 1","Customer","Tuesday",1674,41.6481481481481
"Quarter 1","Customer","Wednesday",2263,34.70083959346
"Quarter 1","Subscriber","Friday",60205,10.4339506685491
"Quarter 1","Subscriber","Monday",54430,10.3612162410435
"Quarter 1","Subscriber","Saturday",33543,11.0858897534508
"Quarter 1","Subscriber","Sunday",27693,11.6892355468891
"Quarter 1","Subscriber","Thursday",63602,10.3722524448917
"Quarter 1","Subscriber","Tuesday",59079,11.0105959816517
"Quarter 1","Subscriber","Wednesday",66148,10.4312450867751
"Quarter 2","Customer","Friday",25363,63.9853329653432
"Quarter 2","Customer","Monday",27182,60.1481495107056
"Quarter 2","Customer","Saturday",56116,64.0466177204362
"Quarter 2","Customer","Sunday",44758,62.081236873855
"Quarter 2","Customer","Thursday",23484,64.9901635155851
"Quarter 2","Customer","Tuesday",20636,50.9791626284164
"Quarter 2","Customer","Wednesday",22002,55.0739023725116
"Quarter 2","Subscriber","Friday",128186,13.1086000031205
"Quarter 2","Subscriber","Monday",119012,12.8414025476423
"Quarter 2","Subscriber","Saturday",86611,15.7677893108266
"Quarter 2","Subscriber","Sunday",70939,14.5297086229014
"Quarter 2","Subscriber","Thursday",143889,12.583130051637
"Quarter 2","Subscriber","Tuesday",144571,12.2851816754398
"Quarter 2","Subscriber","Wednesday",146929,14.9176677170606
"Quarter 3","Customer","Friday",46990,51.9846350287295
"Quarter 3","Customer","Monday",41186,61.710095663575
"Quarter 3","Customer","Saturday",86722,53.7705426535366
"Quarter 3","Customer","Sunday",84077,69.3842430153312
"Quarter 3","Customer","Thursday",38952,53.6955226945985
"Quarter 3","Customer","Tuesday",34393,69.4018259529555
"Quarter 3","Customer","Wednesday",40611,54.5209918494989
"Quarter 3","Subscriber","Friday",170965,15.8337905419238
"Quarter 3","Subscriber","Monday",173348,14.1854362323188
"Quarter 3","Subscriber","Saturday",117647,17.8579649289825
"Quarter 3","Subscriber","Sunday",121394,18.5842710512875
"Quarter 3","Subscriber","Thursday",186738,13.9142434855252
"Quarter 3","Subscriber","Tuesday",184290,15.2706657984698
"Quarter 3","Subscriber","Wednesday",186253,14.4176201188706
"Quarter 4","Customer","Friday",7089,44.7181548878544
"Quarter 4","Customer","Monday",10202,48.8785532248579
"Quarter 4","Customer","Saturday",12793,51.8898616430861
"Quarter 4","Customer","Sunday",10960,42.5352189781022
"Quarter 4","Customer","Thursday",6779,38.2729016079068
"Quarter 4","Customer","Tuesday",7796,46.2567983581324
"Quarter 4","Customer","Wednesday",6611,35.8774769323854
"Quarter 4","Subscriber","Friday",83621,12.1251001542675
"Quarter 4","Subscriber","Monday",101306,12.9396679367461
"Quarter 4","Subscriber","Saturday",46163,14.9690877975868
"Quarter 4","Subscriber","Sunday",40555,14.4170139316977
"Quarter 4","Subscriber","Thursday",97154,11.9032052205776
"Quarter 4","Subscriber","Tuesday",106142,11.704386576473
"Quarter 4","Subscriber","Wednesday",105506,13.2004909673384
